,State,2021,2019
0,Alabama,26.4,23.15182598502
1,Alaska,49.7,32.037713775719
2,Arizona,19.5,13.2372243798
3,Arkansas,29.2,24.073570402759
4,California,41.2,40.164036043138005
5,Colorado,30.2,22.289088337507
6,Connecticut,52.9,46.90059754082
7,Delaware,43.2,28.087320712283997
8,District of Columbia,67.6,24.818336294078
9,Florida,18.5,10.702649824709
10,Georgia,60.8,14.233066690522001
11,Hawaii,32.9,41.093100974468
12,Idaho,24.8,25.748720654932
13,Illinois,43.4,36.790506493540995
14,Indiana,33.3,18.194505810857002
15,Iowa,37.6,40.532067315119
16,Kansas,24.8,18.766171326357
17,Kentucky,92.4,20.289850192588
18,Louisiana,32.4,12.331337535629
19,Maine,33.5,28.56536704564
20,Maryland,22.6,23.499359469325
21,Massachusetts,39.9,50.273854374186
22,Michigan,44.9,26.787328295382
23,Minnesota,58.8,40.782757303836995
24,Mississippi,31.4,11.87136334996
25,Missouri,35.7,21.003271437843
26,Montana,41.0,34.553177845115
27,Nebraska,29.0,13.823402733842999
28,Nevada,52.8,29.689005063381003
29,New Hampshire,38.9,16.07712000673
30,New Jersey,37.5,58.962874387765
31,New Mexico,32.6,17.928306992807
32,New York,49.8,36.534987319807
33,North Carolina,16.9,9.5457594485857
34,North Dakota,27.3,35.586979690186
35,Ohio,29.7,20.528533014002
36,Oklahoma,49.6,24.014027867505998
37,Oregon,45.7,34.569823910116995
38,Pennsylvania,52.6,37.445662730716
39,Rhode Island,66.0,41.253116345141
40,South Carolina,36.3,22.553385959423
41,South Dakota,14.7,12.676372909528
42,Tennessee,29.9,13.958587785182
43,Texas,24.5,24.015341445805998
44,Utah,26.6,20.155306287705
45,Vermont,96.0,45.096604603386
46,Virginia,32.1,15.97136825272
47,Washington,33.9,28.523045804137997
48,West Virginia,42.8,27.245315985445
49,Wisconsin,52.6,30.61235376508
50,Wyoming,21.4,19.466605788085
51,United States,37.5,27.698085398043
